Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
CARRARA 3D STACK HONED -02,"CARRARA 3D STACK HONED SHEET SIZE 306X292X(8-12)MM 
11.19 SHEETS/M2 8SH/BOX=0.715M2",3D,,25.2000,28.6860,M2
CARRARA 3D STACK HONED -03,CARRARA 3D STACK HONED SHEET SIZE 306X292X(8-12)MM 11.19 SHEETS/M2 8SH/BOX=0.715M2,3D,,0.0000,36.7203,M2
CARRARA 3D STACK HONED -04,CARRARA 3D STACK HONED SHEET SIZE 306X292X(8-12)MM 11.19 SHEETS/M2 8SH/BOX=0.715M2,3D,,0.0000,0.0000,M2
CARRARA HONED,CARRARA HONED 610X305X10,,,0.0000,0.1200,M2
CARRARA HONED 36,"CARRARA HONED 305X610X10MM
6PCS/BOX = 1.12M2",,,0.0000,1.9000,M2
CARRARA HONED 36 -01,CARRARA HONED 305X610X10MM 6PCS/BOX = 1.12M2,,,134.0000,134.0000,M2
CARRARA LEAF,CARRARA LEAF HONED SHEET SIZE 224X348X10MM 11.97 SHEETS /M2 5SH/BOX = 0.39M2,,,0.0000,32.2900,M2
CARRARA PENCIL BORDER HONED 150,"CARRARA PENCIL CAPPING HONED 150X15X19MM
98 PIECES/BOX",PENCIL,98.0000,0.0000,875.0000,EA
CARRARA PENCIL BORDER HONED 305,"CARRARA PENCIL CAPPING HONED 305X15X19MM
49 PIECES/BOX",PENCIL,49.0000,0.0000,0.0000,EA
CARRARA PENCIL BORDER HONED 305 -01,"CARRARA PENCIL CAPPING HONED 305X15X19MM
49 PIECES/BOX",PENCIL,49.0000,300.0000,298.0000,EA
CARRARA PENNY HONED 23,"CARRARA PENNY ROUND HONED 
CHIP SIZE 23MM 
SHEET SIZE 305X287X10MM
11.42 SHEETS/M2
7SH/BOX=0.613M2",PENNY ROUND,,0.0000,0.4032,M2
CARRARA PENNY HONED 23 -01,"CARRARA PENNY ROUND HONED 
CHIP SIZE 23MM 
SHEET SIZE 305X287X10MM
11.42 SHEETS/M2",PENNY ROUND,,0.0000,0.0000,M2
CARRARA PENNY HONED 23 -02,"CARRARA PENNY ROUND HONED  CHIP SIZE 23MM  SHEET SIZE 305X287X10MM
11.42 SHEETS/M2",PENNY ROUND,,0.0000,0.0000,M2
